クラス名,符号名アルファベット表記,符号名,モデル表記,字頭区分,字尾区分
CharA,a,あ,NE10,NE,NE
CharKa,ka,か,NEL10,NEL,NEL
CharSa,sa,さ,NEL5,NEL,NEL
CharTa,ta,た,NE5,NE,NE
CharNa,na,な,NER10,NER,NER
CharO,o,お,E10,E,E
CharKo,ko,こ,EL10,EL,EL
CharSo,so,そ,EL5,EL,EL
CharTo,to,と,E5,E,E
CharNo,no,の,ER10,ER,ER
CharU,u,う,SE10,SE,SE
CharKu,ku,く,SEL10,SEL,SEL
CharSu,su,す,SEL5,SEL,SEL
CharTsu,tsu,つ,SE5,SE,SE
CharNu,nu,ぬ,SER10,SER,SER
CharE,e,え,S10,S,S
CharKe,ke,け,SL10,SL,SL
CharSe,se,せ,SL5,SL,SL
CharTe,te,て,S5,S,S
CharNe,ne,ね,SR10,SR,SR
CharI,i,い,SW10,SW,SW
CharKi,ki,き,SWL10,SWL,SWL
CharShi,shi,し,SWL5,SWL,SWL
CharChi,chi,ち,SW5,SW,SW
CharNi,ni,に,SWR10,SWR,SWR
CharHa,ha,は,NEL20,NEL,NEL
CharHi,hi,ひ,SWL20,SWL,SWL
CharHu,hu,ふ,SEL20,SEL,SEL
CharHe,he,へ,UWL5,SWL,SEL
CharHo,ho,ほ,EL20,EL,EL
CharYa,ya,や,NE20,NE,NE
CharYu,yu,ゆ,SE20,SE,SE
CharYo,yo,よ,E20,E,E
CharMa,ma,ま,NER20,NER,NER
CharMi,mi,み,SWR20,SWR,SWR
CharMu,mu,む,SER20,SER,SER
CharMe,me,め,USR5,SER,SWR
CharMo,mo,も,ER20,ER,ER
CharWa,wa,わ,USL5,SEL,NEL
CharRa,ra,ら,NER5,NER,NER
CharRi,ri,り,SWR5,SWR,SWR
CharRu,ru,る,SER5,SER,SER
CharRe,re,れ,SR5,SR,SR
CharRo,ro,ろ,ER5,ER,ER
CharNa,na,な,NER10,NER,NER
CharNi,ni,に,SWR10,SWR,SWR
CharNu,nu,ぬ,SER10,SER,SER
CharNe,ne,ね,SR10,SR,SR
CharNo,no,の,ER10,ER,ER
CharAn,an,あん,NE10CL1,NE,NECL1
CharKan,kan,かん,NEL10CL1,NEL,NELCL1
CharSan,san,さん,NEL5CL1,NEL,NELCL1
CharTan,tan,たん,NE5CL1,NE,NECL1
CharNan,nan,なん,NER10CR1,NER,NERCR1
CharOn,on,おん,E10CL1,E,ECL1
CharKon,kon,こん,EL10CL1,EL,ECL1
CharSon,son,そん,EL5CL1,EL,ELCL1
CharTon,ton,とん,E5CL1,E,ECL1
CharNon,non,のん,ER10CR1,ER,ERCR1
CharUn,un,うん,SE10CL1,SE,SECL1
CharKun,kun,くん,SEL10CL1,SEL,SELCL1
CharSun,sun,すん,SEL5CL1,SEL,SELCL1
CharTsun,tsun,つん,SE5CL1,SE,SECL1
CharNun,nun,ぬん,SER10CR1,SER,SERCR1
CharEn,en,えん,S10CR1,S,SCR1
CharKen,ken,けん,SL10CL1,SL,SLCL1
CharSen,sen,せん,SL5CL1,SL,SLCL1
CharTen,ten,てん,S5CR1,S,SCR1
CharNen,nen,ねん,SR10CR1,SR,SRCR1
CharIn,in,いん,SW10CR1,SW,SWCR1
CharKin,kin,きん,SWL10CL1,SWL,SWLCL1
CharShin,shin,しん,SWL5CL1,SWL,SWLCL1
CharChin,chin,ちん,SW5CR1,SW,SWCR1
CharNin,nin,にん,SWR10CR1,SWR,SWRCR1
CharHan,han,はん,NEL20CL1,NEL,NELCL1
CharHin,hin,ひん,SWL20CL1,SWL,SWLCL1
CharHun,hun,ふん,SEL20CL1,SEL,SELCL1
CharHen,hen,へん,UWL5CL1,UWL,UWLCL1
CharHon,hon,ほん,EL20CL1,EL,ELCL1
CharYan,yan,やん,NE20CL1,NE,NECL1
CharYun,yun,ゆん,SE20CL1,SE,SECL1
CharYon,yon,よん,E20CL1,E,ECL1
CharMan,man,まん,NER20CR1,NER,NERCR1
CharMin,min,みん,SWR20CR1,SWR,SWRCR1
CharMun,mun,むん,SER20CR1,SER,SERCR1
CharMen,men,めん,UER5CR1,SER,SWRCR1
CharMon,mon,もん,ER20CR1,ER,ERCR1
CharWan,wan,わん,USL5CL1,USL,USLCL1
CharRan,ran,らん,NER5CR1,NER,NERCR1
CharRin,rin,りん,SWR5CR1,SWR,SWRCR1
CharRun,run,るん,SER5CR1,SER,SERCR1
CharRen,ren,れん,SR5CR1,SR,SRCR1
CharRon,ron,ろん,ER5CR1,ER,ERCR1
CharNan,nan,なん,NER10CR1,NER,NERCR1
CharNin,nin,にん,SWR10CR1,SWR,SWRCR1
CharNun,nun,ぬん,SER10CR1,SER,SERCR1
CharNen,nen,ねん,SR10CR1,SR,SRCR1
CharNon,non,のん,ER10CR1,ER,ERCR1
CharAh,ah,あー,NE10CL1FP,NE,P
CharKah,kah,かー,NEL10CL1FP,NEL,P
CharSah,sah,さー,NEL5CL1FP,NEL,P
CharTah,tah,たー,NE5CL1FP,NE,P
CharNah,nah,なー,NER10CR1FP,NER,P
CharOh,oh,おー,E10CL1FP,E,P
CharKoh,koh,こー,EL10CL1FP,EL,P
CharSoh,soh,そー,EL5CL1FP,EL,P
CharToh,toh,とー,E5CL1FP,E,P
CharNoh,noh,のー,ER10CR1FP,ER,P
CharUh,uh,うー,SE10CL1FP,SE,P
CharKuh,kuh,くー,SEL10CL1FP,SEL,P
CharSuh,suh,すー,SEL5CL1FP,SEL,P
CharTsuh,tsuh,つー,SE5CL1FP,SE,P
CharNuh,nuh,ぬー,SER10CR1FP,SER,P
CharEh,eh,えー,S10CR1FP,S,P
CharKeh,keh,けー,SL10CL1FP,SL,P
CharSeh,seh,せー,SL5CL1FP,SL,P
CharTeh,teh,てー,S5CR1FP,S,P
CharNeh,neh,ねー,SR10CR1FP,SR,P
CharIi,ii,いー,SW10CR1FP,SW,P
CharKii,kii,きー,SWL10CL1FP,SWL,P
CharShii,shii,しー,SWL5CL1FP,SWL,P
CharChii,chii,ちー,SW5CR1FP,SW,P
CharNii,nii,にー,SWR10CR1FP,SWR,P
CharHah,hah,はー,NEL20CL1FP,NEL,P
CharHii,hii,ひー,SWL20CL1FP,SWL,P
CharHuh,huh,ふー,SEL20CL1FP,SEL,P
CharHeh,heh,へー,UWL5CL1FP,UWL,P
CharHoh,hoh,ほー,EL20CL1FP,EL,P
CharYah,yah,やー,NE20CL1FP,NE,P
CharYuh,yuh,ゆー,SE20CL1FP,SE,P
CharYoh,yoh,よー,E20CL1FP,E,P
CharMah,mah,まー,NER20CR1FP,NER,P
CharMii,mii,みー,SWR20CR1FP,SWR,P
CharMuh,muh,むー,SER20CR1FP,SER,P
CharMeh,meh,めー,UER5CR1FP,UER,P
CharMoh,moh,もー,ER20CR1FP,ER,P
CharWah,wah,わー,USL5CL1FP,USL,P
CharRah,rah,らー,NER5CR1FP,NER,P
CharRii,rii,りー,SWR5CR1FP,SWR,P
CharRuh,ruh,るー,SER5CR1FP,SER,P
CharReh,reh,れー,SR5CR1FP,SR,P
CharRoh,roh,ろー,ER5CR1FP,ER,P
CharNah,nah,なー,NER10CR1FP,NER,P
CharNii,nii,にー,SWR10CR1FP,SWR,P
CharNuh,nuh,ぬー,SER10CR1FP,SER,P
CharNeh,neh,ねー,SR10CR1FP,SR,P
CharNoh,noh,のー,ER10CR1FP,ER,P
CharKya,kya,きゃ,HNEL10,HNEL,NEL
CharSha,sha,しゃ,HNEL5,HNEL,NEL
CharCha,cha,ちゃ,HNE5,HNE,NE
CharNya,nya,にゃ,HNER10,HNER,NER
CharKyo,kyo,きょ,HEL10,HEL,EL
CharSho,sho,しょ,HEL5,HEL,EL
CharCho,cho,ちょ,BE5,BE,E
CharNyo,nyo,にょ,HER10,HER,ER
CharKyu,kyu,きゅ,HSEL10,HSEL,SEL
CharShu,shu,しゅ,HSEL5,HSEL,SEL
CharChu,chu,ちゅ,BSE5,BSE,SE
CharNyu,nyu,にゅ,HSER10,HSER,SER
CharHya,hya,ひゃ,HNEL20,HNEL,NEL
CharHyu,hyu,ひゅ,HSEL20,HSEL,SEL
CharHyo,hyo,ひょ,HEL20,HEL,EL
CharMya,mya,みゃ,HNER20,HNER,NER
CharMyu,myu,みゅ,HSER20,HSER,SER
CharMyo,myo,みょ,HER20,HER,ER
CharRya,rya,りゃ,HNER5,HNER,NER
CharRyu,ryu,りゅ,HSER5,HSER,SER
CharRyo,ryo,りょ,HER5,HER,ER
CharNya,nya,にゃ,HNER10,HNER,NER
CharNyu,nyu,にゅ,HSER10,HSER,SER
CharNyo,nyo,にょ,HER10,HER,ER
CharAku,aku,あく,NE10CL5,NE,NE
CharKaku,kaku,かく,NEL10CL5,NEL,NEL
CharSaku,saku,さく,NEL5CL5,NEL,NEL
CharTaku,taku,たく,NE5CL5,NE,NE
CharNaku,naku,なく,NER10CR5,NER,NER
CharOku,oku,おく,E10CL5,E,E
CharKoku,koku,こく,EL10CL5,EL,EL
CharSoku,soku,そく,EL5CL5,EL,EL
CharToku,toku,とく,E5CL5,E,E
CharNoku,noku,のく,ER10CR5,ER,ER
CharUku,uku,うく,SE10CL5,SE,SE
CharKuku,kuku,くく,SEL10CL5,SEL,SEL
CharSuku,suku,すく,SEL5CL5,SEL,SEL
CharTsuku,tsuku,つく,SE5CL5,SE,SE
CharNuku,nuku,ぬく,SER10CR5,SER,SER
CharEku,eku,えく,S10CR5,S,S
CharKeku,keku,けく,SL10CL5,SL,SL
CharSeku,seku,せく,SL5CL5,SL,SL
CharTeku,teku,てく,S5CR5,S,S
CharNeku,neku,ねく,SR10CR5,SR,SR
CharIku,iku,いく,SW10CR5,SW,SW
CharKiku,kiku,きく,SWL10CL5,SWL,SWL
CharShiku,shiku,しく,SWL5CL5,SWL,SWL
CharChiku,chiku,ちく,SW5CR5,SW,SW
CharNiku,niku,にく,SWR10CR5,SWR,SWR
CharHaku,haku,はく,NEL20CL5,NEL,NEL
CharHiku,hiku,ひく,SWL20CL5,SWL,SWL
CharHuku,huku,ふく,SEL20CL5,SEL,SEL
CharHeku,heku,へく,UWL5CL5,UWL,UWL
CharHoku,hoku,ほく,EL20CL5,EL,EL
CharYaku,yaku,やく,NE20CL5,NE,NE
CharYuku,yuku,ゆく,SE20CL5,SE,SE
CharYoku,yoku,よく,E20CL5,E,E
CharMaku,maku,まく,NER20CR5,NER,NERCR5
CharMiku,miku,みく,SWR20CR5,SWR,SWRCR5
CharMuku,muku,むく,SER20CR5,SER,SERCR5
CharMeku,meku,めく,UER5CR5,UER,UERCR5
CharMoku,moku,もく,ER20CR5,ER,ERCR5
CharWaku,waku,わく,USL5CL5,USL,USLCL5
CharRaku,raku,らく,NER5CR5,NER,NERCR5
CharRiku,riku,りく,SWR5CR5,SWR,SWRCR5
CharRuku,ruku,るく,SER5CR5,SER,SERCR5
CharReku,reku,れく,SR5CR5,SR,SRCR5
CharRoku,roku,ろく,ER5CR5,ER,ERCR5
CharNaku,naku,なく,NER10CR5,NER,NERCR5
CharNiku,niku,にく,SWR10CR5,SWR,SWRCR5
CharNuku,nuku,ぬく,SER10CR5,SER,SERCR5
CharNeku,neku,ねく,SR10CR5,SR,SRCR5
CharNoku,noku,のく,ER10CR5,ER,ERCR5
CharAtsu,atsu,あつ,NE10OL1,NE,NEOL1
CharKatsu,katsu,かつ,NEL10OL1,NEL,NELOL1
CharSatsu,satsu,さつ,NEL5OL1,NEL,NELOL1
CharTatsu,tatsu,たつ,NE5OL1,NE,NEOL1
CharNatsu,natsu,なつ,NER10OR1,NER,NEROR1
CharOtsu,otsu,おつ,E10OL1,E,EOL1
CharKotsu,kotsu,こつ,EL10OL1,EL,ELOL1
CharSotsu,sotsu,そつ,EL5OL1,EL,ELOL1
CharTotsu,totsu,とつ,E5OL1,E,EOL1
CharNotsu,notsu,のつ,ER10OR1,ER,EROR1
CharUtsu,utsu,うつ,SE10OL1,SE,SEOL1
CharKutsu,kutsu,くつ,SEL10OL1,SEL,SELOL1
CharSutsu,sutsu,すつ,SEL5OL1,SEL,SELOL1
CharTsutsu,tsutsu,つつ,SE5OL1,SE,SEOL1
CharNutsu,nutsu,ぬつ,SER10OR1,SER,SEROR1
CharEtsu,etsu,えつ,S10OR1,S,SOR1
CharKetsu,ketsu,けつ,SL10OL1,SL,SLOL1
CharSetsu,setsu,せつ,SL5OL1,SL,SLOL1
CharTetsu,tetsu,てつ,S5OR1,S,SOR1
CharNetsu,netsu,ねつ,SR10OR1,SR,SROR1
CharItsu,itsu,いつ,SW10OR1,SW,SWOR1
CharKitsu,kitsu,きつ,SWL10OL1,SWL,SWLOL1
CharShitsu,shitsu,しつ,SWL5OL1,SWL,SWLOL1
CharChitsu,chitsu,ちつ,SW5OR1,SW,SWOR1
CharNitsu,nitsu,につ,SWR10OR1,SWR,SWROR1
CharHatsu,hatsu,はつ,NEL20OL1,NEL,NELOL1
CharHitsu,hitsu,ひつ,SWL20OL1,SWL,SWLOL1
CharHutsu,hutsu,ふつ,SEL20OL1,SEL,SELOL1
CharHetsu,hetsu,へつ,UWL5OL1,UWL,UWLOL1
CharHotsu,hotsu,ほつ,EL20OL1,EL,ELOL1
