表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音,符号クラス
ざ,*,*,*,*,*,*,ざ,ザ,ザ,CharSa
じ,*,*,*,*,*,*,じ,ジ,ジ,CharShi
ず,*,*,*,*,*,*,ず,ズ,ズ,CharSu
ぜ,*,*,*,*,*,*,ぜ,ゼ,ゼ,CharSe
ぞ,*,*,*,*,*,*,ぞ,ゾ,ゾ,CharSo

しゃ,*,*,*,*,*,*,しゃ,シャ,シャ,CharSha
しゅ,*,*,*,*,*,*,しゅ,シュ,シュ,CharShu
しょ,*,*,*,*,*,*,しょ,ショ,ショ,CharSho

しゃー,*,*,*,*,*,*,しゃー,シャー,シャー,CharSha
しゅー,*,*,*,*,*,*,しゅー,シュー,シュー,CharShu
しょー,*,*,*,*,*,*,しょー,ショー,ショー,CharShou

じゃー,*,*,*,*,*,*,じゃー,ジャー,ジャー,CharSha
じゅー,*,*,*,*,*,*,じゅー,ジュー,ジュー,CharShu
じょー,*,*,*,*,*,*,じょー,ジョー,ジョー,CharSho


ぱ,*,*,*,*,*,*,ぱ,パ,パ,CharPa
ぴ,*,*,*,*,*,*,ぴ,ピ,ピ,CharPi
ぷ,*,*,*,*,*,*,ぷ,プ,プ,CharPu
ぺ,*,*,*,*,*,*,ぺ,ペ,ペ,CharPe
ぽ,*,*,*,*,*,*,ぽ,ポ,ポ,CharPo


た,*,*,*,*,*,*,た,タ,タ,CharTa
ち,*,*,*,*,*,*,ち,チ,チ,CharChi
つ,*,*,*,*,*,*,つ,ツ,ツ,CharTsu
て,*,*,*,*,*,*,て,テ,テ,CharTe
と,*,*,*,*,*,*,と,ト,ト,CharTo

とら,*,*,*,*,*,*,とら,トラ,トラ,CharTora

てぃ,*,*,*,*,*,*,てぃ,ティ,ティ,CharTei
てぃー,*,*,*,*,*,*,てぃー,ティー,ティー,CharTei

てき,*,*,*,*,*,*,てき,テキ,テキ,CharTeki

たー,*,*,*,*,*,*,たー,ター,ター,CharTa
ちー,*,*,*,*,*,*,ちー,チー,チー,CharChi
つー,*,*,*,*,*,*,つー,ツー,ツー,CharTsu
てー,*,*,*,*,*,*,てー,テー,テー,CharTei
てい,*,*,*,*,*,*,てい,テイ,テイ,CharTei
とー,*,*,*,*,*,*,とー,トー,トー,CharTo

たん,*,*,*,*,*,*,たん,タン,タン,CharTan
ちん,*,*,*,*,*,*,ちん,チン,チン,CharChin
つん,*,*,*,*,*,*,つん,ツン,ツン,CharTsun
てん,*,*,*,*,*,*,てん,テン,テン,CharTen
とん,*,*,*,*,*,*,とん,トン,トン,CharTon

だん,*,*,*,*,*,*,だん,ダン,ダン,CharTan
ぢん,*,*,*,*,*,*,ぢん,ヂン,ヂン,CharChin
づん,*,*,*,*,*,*,づん,ヅン,ヅン,CharTsun
でん,*,*,*,*,*,*,でん,デン,デン,CharTen
どん,*,*,*,*,*,*,どん,ドン,ドン,CharTon

だ,*,*,*,*,*,*,だ,ダ,ダ,CharTa
ぢ,*,*,*,*,*,*,ぢ,ヂ,ヂ,CharChi
づ,*,*,*,*,*,*,づ,ヅ,ヅ,CharTsu
で,*,*,*,*,*,*,で,デ,デ,CharTe
ど,*,*,*,*,*,*,ど,ド,ド,CharTo

だー,*,*,*,*,*,*,だー,ダー,ダー,CharTa
ぢー,*,*,*,*,*,*,ぢー,ヂー,ヂー,CharChi
づー,*,*,*,*,*,*,づー,ヅー,ヅー,CharTsu
でー,*,*,*,*,*,*,でー,デー,デー,CharTe
どー,*,*,*,*,*,*,どー,ドー,ドー,CharTo

な,*,*,*,*,*,*,な,ナ,ナ,CharNa
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,CharNa
に,*,*,*,*,*,*,に,ニ,ニ,CharNi
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,CharNi|CharSpace
ぬ,*,*,*,*,*,*,ぬ,ヌ,ヌ,CharNu
ね,*,*,*,*,*,*,ね,ネ,ネ,CharNe
の,*,*,*,*,*,*,の,ノ,ノ,CharNo
なん,*,*,*,*,*,*,なん,ナン,ナン,CharNan
にん,*,*,*,*,*,*,にん,ニン,ニン,CharNin
ぬん,*,*,*,*,*,*,ぬん,ヌン,ヌン,CharNun
ねん,*,*,*,*,*,*,ねん,ネン,ネン,CharNen
のん,*,*,*,*,*,*,のん,ノン,ノン,CharNon

は,*,*,*,*,*,*,は,ハ,ハ,CharHa
ひ,*,*,*,*,*,*,ひ,ヒ,ヒ,CharHi
ふ,*,*,*,*,*,*,ふ,フ,フ,CharFu
へ,*,*,*,*,*,*,へ,ヘ,ヘ,CharHe
ほ,*,*,*,*,*,*,ほ,ホ,ホ,CharHo

へき,*,*,*,*,*,*,へき,ヘキ,ヘキ,CharHeki
べき,*,*,*,*,*,*,べき,ベキ,ベキ,CharBeki

ほこ,*,*,*,*,*,*,ほこ,ホコ,ホコ,CharHoko
ほご,*,*,*,*,*,*,ほご,ホゴ,ホゴ,CharHoko
ぼこ,*,*,*,*,*,*,ぼこ,ボコ,ボコ,CharHoko
ぼご,*,*,*,*,*,*,ぼご,ぼゴ,ぼゴ,CharHoko

ば,*,*,*,*,*,*,ば,バ,バ,CharHa
び,*,*,*,*,*,*,び,ビ,ビ,CharHi
ぶ,*,*,*,*,*,*,ぶ,ブ,ブ,CharHu
べ,*,*,*,*,*,*,べ,ベ,ベ,CharHe
ぼ,*,*,*,*,*,*,ぼ,ボ,ボ,CharHo

はー,*,*,*,*,*,*,はー,ハー,ハー,CharHa
ひー,*,*,*,*,*,*,ひー,ヒー,ヒー,CharHi
ふー,*,*,*,*,*,*,ふー,フー,フー,CharHu
へー,*,*,*,*,*,*,へー,ヘー,ヘー,CharHei
ほー,*,*,*,*,*,*,ほー,ホー,ホー,CharHou

はん,*,*,*,*,*,*,はん,ハン,ハン,CharHan
ひん,*,*,*,*,*,*,ひん,ヒン,ヒン,CharHin
ふん,*,*,*,*,*,*,ふん,フン,フン,CharHun
へん,*,*,*,*,*,*,へん,ヘン,ヘン,CharHen
ほん,*,*,*,*,*,*,ほん,ホン,ホン,CharHon

はい,*,*,*,*,*,*,はい,ハイ,ハイ,CharHai
ひい,*,*,*,*,*,*,ひい,ヒイ,ヒイ,CharHii
ふい,*,*,*,*,*,*,ふい,フイ,フイ,CharHui
へい,*,*,*,*,*,*,へい,ヘイ,ヘイ,CharHei
ほい,*,*,*,*,*,*,ほい,ホイ,ホイ,CharHoi

ばん,*,*,*,*,*,*,ばん,バン,バン,CharHan
びん,*,*,*,*,*,*,びん,ビン,ビン,CharHin
ぶん,*,*,*,*,*,*,ぶん,ブン,ブン,CharHun
べん,*,*,*,*,*,*,べん,ベン,ベン,CharHen
ぼん,*,*,*,*,*,*,ぼん,ボン,ボン,CharHon

へい,*,*,*,*,*,*,へい,ヘイ,ヘイ,CharHei
べい,*,*,*,*,*,*,べい,ベイ,ベイ,CharHei
べー,*,*,*,*,*,*,べー,ベー,ベー,CharHei

ま,*,*,*,*,*,*,ま,マ,マ,CharMa
み,*,*,*,*,*,*,み,ミ,ミ,CharMi
む,*,*,*,*,*,*,む,ム,ム,CharMu
め,*,*,*,*,*,*,め,メ,メ,CharMe
も,*,*,*,*,*,*,も,モ,モ,CharMo

まん,*,*,*,*,*,*,まん,マン,マン,CharMan
みん,*,*,*,*,*,*,みん,ミン,ミン,CharMin
むん,*,*,*,*,*,*,むん,ムン,ムン,CharMun
めん,*,*,*,*,*,*,めん,メン,メン,CharMen
もん,*,*,*,*,*,*,もん,モン,モン,CharMon

や,*,*,*,*,*,*,や,ヤ,ヤ,CharYa
ゆ,*,*,*,*,*,*,ゆ,ユ,ユ,CharYu
よ,*,*,*,*,*,*,よ,ヨ,ヨ,CharYo

やー,*,*,*,*,*,*,やー,ヤー,ヤー,CharYa
ゆー,*,*,*,*,*,*,ゆー,ユー,ユー,CharYu
よー,*,*,*,*,*,*,よー,ヨー,ヨー,CharYou
よう,*,*,*,*,*,*,よう,ヨウ,ヨウ,CharYo

ら,*,*,*,*,*,*,ら,ラ,ラ,CharRa
り,*,*,*,*,*,*,り,リ,リ,CharRi
る,*,*,*,*,*,*,る,ル,ル,CharRu
れ,*,*,*,*,*,*,れ,レ,レ,CharRe
ろ,*,*,*,*,*,*,ろ,ロ,ロ,CharRo
ろく,*,*,*,*,*,*,ろく,ロク,ロク,CharRoku

らー,*,*,*,*,*,*,らー,ラー,ラー,CharRa
りー,*,*,*,*,*,*,りー,リー,リー,CharRi
るー,*,*,*,*,*,*,るー,ルー,ルー,CharRu
れー,*,*,*,*,*,*,れー,レー,レー,CharRei
ろー,*,*,*,*,*,*,ろー,ロー,ロー,CharRo

わ,*,*,*,*,*,*,わ,ワ,ワ,CharWa
わー,*,*,*,*,*,*,わー,ワー,ワー,CharWa
を,助詞,格助詞,一般,*,*,*,を,オ,オ,CharO

わけ,*,*,*,*,*,*,わけ,ワケ,ワケ,CharWake

たい,*,*,*,*,*,*,たい,タイ,タイ,CharTai
だい,*,*,*,*,*,*,だい,ダイ,ダイ,CharTai
かい,*,*,*,*,*,*,かい,カイ,カイ,CharKai
がい,*,*,*,*,*,*,がい,ガイ,ガイ,CharKai
けん,*,*,*,*,*,*,けん,ケン,ケン,Char2Ken
げん,*,*,*,*,*,*,げん,ゲン,ゲン,Char2Ken
さい,*,*,*,*,*,*,さい,サイ,サイ,CharSai
れい,*,*,*,*,*,*,れい,レイ,レイ,CharRei

せつ,*,*,*,*,*,*,せつ,セツ,セツ,CharSetsu

りつ,*,*,*,*,*,*,りつ,リツ,リツ,CharRitsu

まえ,*,*,*,*,*,*,まえ,マエ,マエ,CharMae

れば,*,*,*,*,*,*,れば,レバ,レバ,CharReba

けっ,*,*,*,*,*,*,けっ,ケッ,ケッ,CharKetsu|CharLtsu

もの,*,*,*,*,*,*,もの,モノ,モノ,CharMono


あく,*,*,*,*,*,*,あく,アク,アク,CharAku
ふら,*,*,*,*,*,*,ふら,フラ,フラ,CharHura
ふり,*,*,*,*,*,*,ふり,フリ,フリ,CharHura
ふる,*,*,*,*,*,*,ふる,フル,フル,CharHura
ふれ,*,*,*,*,*,*,ふれ,フレ,フレ,CharHura
ふろ,*,*,*,*,*,*,ふろ,フロ,フロ,CharHura

ぶら,*,*,*,*,*,*,ぶら,ブラ,ブラ,CharHura
ぶり,*,*,*,*,*,*,ぶり,ブリ,ブリ,CharHura
ぶる,*,*,*,*,*,*,ぶる,ブル,ブル,CharHura
ぶれ,*,*,*,*,*,*,ぶれ,ブレ,ブレ,CharHura
ぶろ,*,*,*,*,*,*,ぶろ,ブロ,ブロ,CharHura


りゃ,*,*,*,*,*,*,りゃ,リャ,リャ,CharRya
りゅ,*,*,*,*,*,*,りゅ,リュ,リュ,CharRyu
りょ,*,*,*,*,*,*,りょ,リョ,リョ,CharRyo
りゃう,*,*,*,*,*,*,りゃう,リャウ,リャウ,CharRya
りゅう,*,*,*,*,*,*,りゅう,リュウ,リュウ,CharRyu
りょう,*,*,*,*,*,*,りょう,リョウ,リョウ,CharRyo
りゃー,*,*,*,*,*,*,りゃー,リャー,リャー,CharRya
りゅー,*,*,*,*,*,*,りゅー,リュー,リュー,CharRyu
りょー,*,*,*,*,*,*,りょー,リョー,リョー,CharRyo

は,助詞,係助詞,*,*,*,*,は,ハ,ワ,CharHa|CharSpace

まして,複合,*,*,*,*,*,ます,マシテ,マシテ,CharMashite

で,助詞,格助詞,一般,*,*,*,で,デ,デ,CharTe_joshi
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,CharTe_joshi
て,助詞,接続助詞,*,*,*,*,て,テ,テ,CharTe_joshi
も,助詞,係助詞,*,*,*,*,も,モ,モ,CharMo_joshi
の,助詞,連体化,*,*,*,*,の,ノ,ノ,CharNo_joshi|CharSpace

少なくとも,副詞,一般,*,*,*,*,少なくとも,スクナクトモ,スクナクトモ,CharSukunakutomo
一,名詞,数,*,*,*,*,一,イチ,イチ,Char1
三,名詞,数,*,*,*,*,三,サン,サン,Char3
一時,名詞,副詞可能,*,*,*,*,一時,イチジ,イチジ,Char1|CharShi

ところ,名詞,一般,*,*,*,*,ところ,トコロ,トコロ,CharSpace|CharTokoro

っ,*,*,*,*,*,*,っ,ッ,ッ,CharLtsu

、,記号,読点,*,*,*,*,、,、,、,CharSpace
。,記号,句点,*,*,*,*,。,。,。,CharSpace
まず,副詞,一般,*,*,*,*,まず,マズ,マズ,CharMatsu
まずは,接続詞,*,*,*,*,*,まずは,マズハ,マズワ,CharMatsu|CharHa
ず,*,*,*,*,*,*,ず,ズ,ズ,CharSu
我が国,名詞,一般,*,*,*,*,我が国,ワガクニ,ワガクニ,CharSpace|CharWagakuni

ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,CharMasu
ますが,助動詞,*,*,*,特殊・マス,基本形,ます,マスガ,マスガ,CharMasuga
につき,助詞,格助詞,連語,*,*,*,につき,ニツキ,ニツキ,CharNitsuki
第,接頭詞,数接続,*,*,*,*,第,ダイ,ダイ,CharDai
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,CharKore
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,CharMade
して,動詞,自立,*,*,サ変・スル,連用形,する,シテ,シテ,CharShite
した,動詞,*,*,*,*,*,した,シタ,シタ,CharShita
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,CharSono
考え,動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ,CharSpace|CharKangae
おり,動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ,CharOri
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,CharKoto
といった,助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ,CharToiu|CharLtsu|CharTa|CharSpace
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,PosAru
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,PosAru
理由,名詞,一般,*,*,*,*,理由,リユウ,リユー,CharRyu

あい,*,*,*,*,*,*,あい,アイ,アイ,CharAi
場合,名詞,副詞可能,*,*,*,*,場合,バアイ,バアイ,CharSpace|CharAi

から,*,*,*,*,*,*,から,カラ,カラ,CharKara

こく,*,*,*,*,*,*,こく,コク,コク,Char2Koku
けんざい,*,*,*,*,*,*,けんざい,ケンザイ,ケンザイ,CharKenzai
げんざい,*,*,*,*,*,*,げんざい,ゲンザイ,ゲンザイ,CharGenzai

しゅとく,*,*,*,*,*,*,しゅとく,シュトク,シュトク,CharShutoku
しゅうとく,*,*,*,*,*,*,しゅうとく,シュウトク,ジュートク,CharShutoku
じゅうとく,*,*,*,*,*,*,じゅうとく,ジュウトク,ジュートク,CharShutoku

する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,CharSuru
的,名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,CharTeki
必要,名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー,CharHitsuyou
と,助詞,格助詞,引用,*,*,*,と,ト,ト,CharTo_joshi
と,助詞,格助詞,一般,*,*,*,と,ト,ト,CharTo_joshi
まいり,動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ,CharRi
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,PosIru|CharI
い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,PosIru|CharI

ふう,名詞,非自立,形容動詞語幹,*,*,*,ふう,フウ,フー,CharHuu
例えば,接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,CharTato|CharHa
業者,名詞,一般,*,*,*,*,業者,ギョウシャ,ギョーシャ,CharKyo|CharShitsu
者,名詞,接尾,一般,*,*,*,者,シャ,シャ,CharShitsu


そういう,連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,CharSouiu
幸い,副詞,助詞類接続,*,*,*,*,幸い,サイワイ,サイワイ,CharSa_henki|CharI
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,CharDesu
同時に,副詞,一般,*,*,*,*,同時に,ドウジニ,ドージニ,CharTo|PtShi|CharNi
サービス,名詞,サ変接続,*,*,*,*,サービス,サービス,サービス,CharSa|CharHi|PtShi
に関する,助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル,CharNikansuru|CharSpace
問題,名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ,CharMondai
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,CharNai_hitei
利用,名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー,CharRyo
そうした,連体詞,*,*,*,*,*,そうした,ソウシタ,ソーシタ,CharSo|CharShita
こうした,連体詞,*,*,*,*,*,こうした,コウシタ,コーシタ,CharKoh|CharShita
法案,名詞,一般,*,*,*,*,法案,ホウアン,ホーアン,CharHou|CharAn
他方,名詞,一般,*,*,*,*,他方,タホウ,タホー,CharTa|PosHou

重要,名詞,形容動詞語幹,*,*,*,*,重要,ジュウヨウ,ジューヨー,CharShu|CharYo
ません,*,*,*,*,*,*,ます,マセン,マセン,CharMasen
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,PosAru|CharLtsu
という,複合,*,*,*,*,*,という,トイウ,トイウ,CharToiu
たという,*,*,*,*,*,*,たという,タトイウ,タトユウ,CharTa|CharToiu
承知,名詞,サ変接続,*,*,*,*,承知,ショウチ,ショーチ,CharShou|PosChi
ことで,*,*,*,*,*,*,ことで,コトデ,コトデ,CharKotode
ものでございます,*,*,*,*,*,*,ものでございます,モノデゴザイマス,モノデゴザイマス,CharMonodesu|CharMasu
ものと,名詞,非自立,一般,*,*,*,ものと,モノト,モノト,CharMonoto
情報,名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー,CharSho|PosHou
され,動詞,自立,*,*,サ変・スル,受動,され,サレ,サレ,CharSare
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,CharOoki|CharNa|CharSpace
される,動詞,自立,*,*,サ変・スル,未然レル接続,される,サレル,サレル,CharSareru
二,名詞,数,*,*,*,*,二,ニ,ニ,Char2
講じよう,動詞,自立,*,*,一段,未然ウ接続,講じる,コウジヨウ,コージヨウ,CharKoh|CharShiyou
上,名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー,CharJou
ございます,助動詞,*,*,*,五段・ラ行特殊,連用形,ござる,ゴザイマス,ゴザイマス,CharGozaimasu
ございまして,助動詞,*,*,*,五段・ラ行特殊,連用形,ござる,ゴザイマシテ,ゴザイマシテ,CharGozaimashite
でございます,連語,助動詞,*,*,五段・ラ行特殊,連用形,ござる,デゴザイマス,デゴザイマス,CharTe_joshi|CharMasu
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,CharO
られる,動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル,CharRareru
与え,動詞,自立,*,*,一段,未然形,与える,アタエ,アタエ,CharA|CharE
あれば,動詞,自立,*,*,五段・ラ行,仮定形,ある,アレバ,アレバ,PosAru|CharHo
ません,助動詞,*,*,*,特殊・マス,未然形,ます,マセン,マセン,CharMasen
ました,助動詞,*,*,*,特殊・マス,連用形,ます,マシタ,マシタ,CharMashita
としまして,助詞,格助詞,連語,*,*,*,としまして,トシマシテ,トシマシテ,CharTo_joshi|CharSuru|CharMashite
に対しまして,助詞,格助詞,連語,*,*,*,に対しまして,ニタイシマシテ,ニタイシマシテ,CharNi|PosYou|CharShi|CharMashite
のに対しまして,助詞,格助詞,連語,*,*,*,のに対しまして,ノニタイシマシテ,ノニタイシマシテ,CharNoni|PosYou|CharShi|CharMashite
十分,名詞,形容動詞語幹,*,*,*,*,十分,ジュウブン,ジューブン,CharShun
一般,名詞,一般,*,*,*,*,一般,イッパン,イッパン,Char1|CharPan
一定,名詞,サ変接続,*,*,*,*,一定,イッテイ,イッテイ,Char1|CharTei
において,助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ,CharNi|CharO
について,助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,CharNi|PosNakatta|CharTe_joshi
でき,動詞,自立,*,*,一段,未然形,できる,デキ,デキ,CharDeki
できない,動詞,自立,*,*,一段,未然形,できる,デキナイ,デキナイ,CharDekinai
に際して,助詞,格助詞,連語,*,*,*,に際して,ニサイシテ,ニサイシテ,CharNi|CharSai|CharShite
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,CharSpace|CharNado
鑑み,動詞,自立,*,*,一段,連用形,鑑みる,カンガミ,カンガミ,CharKangami
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,CharToshite
でございますけれども,複合,*,*,*,*,*,でございますけれども,デゴザイマスケレドモ,デゴザイマスケレドモ,CharTe_joshi|CharMasukeredomo
ますけれども,複合語,*,*,*,*,*,ますけれども,マスケレドモ,マスケレドモ,CharMasukeredomo
でございまして,複合,*,*,*,*,*,でございまして,デゴザイマシテ,デゴザイマシテ,CharTe_joshi|CharMashite
におきまして,複合,*,*,*,*,*,におきまして,ニオキマシテ,ニオキマシテ,CharNi|CharO|CharMashite
_,名詞,サ変接続,*,*,*,*,*,CharSpace
それでも,接続詞,*,*,*,*,*,それでも,ソレデモ,ソレデモ,CharSore|CharTe_joshi|CharMo_joshi
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ,CharKi
